,rw,rw,rw,rw,rw,rw,rw,rw,rw,rw,rw,en,en,en,en,en,en,en,en,en,en,en
,Rwanda,Paul_Kagame,Umuganda,Uburezi_mu_Rwanda,Kigali,Ubukungu_bw%27U_Rwanda,Ikinyarwanda,Rose_Kabuye,Louise_Mushikiwabo,Agnes_Binagwaho,Paul_Rusesabagina,Rwanda,Paul_Kagame,Umuganda,Education_in_Rwanda,Kigali,Economy_of_Rwanda,Kinyarwanda,Rose_Kabuye,Louise_Mushikiwabo,Agnes_Binagwaho,Paul_Rusesabagina
2017-09-23,60,15,,,15,,25,,,,,3049,793,,66,367,119,116,6,31,12,438
2017-09-24,69,17,,,4,,19,,,,,2876,915,,52,383,111,163,4,33,12,653
2017-09-25,54,21,,,9,,14,,,,,3287,1089,,71,478,149,188,8,33,19,737
2017-09-26,65,17,,,6,,28,,,,,3498,1037,,70,473,151,199,12,42,29,425
2017-09-27,51,17,,,13,,19,,,,,3978,970,,78,603,167,181,8,35,25,360
2017-09-28,63,17,,,11,,24,,,,,3158,1043,,61,542,153,198,10,36,12,451
2017-09-29,52,19,,,14,,31,,,,,2958,854,,94,397,151,190,6,25,30,349
2017-09-30,92,23,,,24,,26,,,,,2651,861,,85,398,138,149,5,29,10,385
2017-10-01,62,19,,,26,,26,,,,,2808,874,,62,395,142,157,6,18,64,441
2017-10-02,84,21,,,15,,23,,,,,3082,867,,107,389,163,204,10,39,27,502
2017-10-03,76,19,,,20,,15,,,,,3019,818,,77,468,136,204,4,34,26,455
